Date,Country,Confirmed,ret_rec_ch,gr_ph_ch,par_cha,tra_sta_ch,wor_ch,res_ch
2020-02-27,Denmark,1,2,1,21,2,3,0
2020-02-28,Denmark,1,17,1,23,6,2,-1
2020-02-29,Denmark,3,10,-4,-17,5,0,0
2020-03-01,Denmark,4,21,-7,-5,5,1,0
2020-03-02,Denmark,4,11,-5,28,1,2,0
2020-03-03,Denmark,6,10,-5,9,-1,2,0
2020-03-04,Denmark,11,9,-5,16,1,2,0
2020-03-05,Denmark,11,10,-3,30,-1,2,0
2020-03-06,Denmark,24,7,-3,11,-2,1,0
2020-03-07,Denmark,24,10,-2,47,7,1,-1
2020-03-08,Denmark,37,11,-8,-7,-1,-2,0
2020-03-09,Denmark,92,5,-5,14,-3,0,1
2020-03-10,Denmark,264,3,-4,-6,-7,0,2
2020-03-11,Denmark,444,5,5,25,-10,-1,2
2020-03-12,Denmark,617,-11,22,-16,-36,-28,12
2020-03-13,Denmark,804,-28,-7,2,-48,-44,16
2020-03-14,Denmark,836,-31,-9,86,-36,-16,8
2020-03-15,Denmark,875,-33,-24,-8,-50,-22,8
2020-03-16,Denmark,933,-24,-14,50,-52,-50,17
2020-03-17,Denmark,1025,-25,-4,38,-55,-52,18
2020-03-18,Denmark,1116,-41,-21,11,-61,-54,20
2020-03-19,Denmark,1225,-39,-20,104,-58,-55,19
2020-03-20,Denmark,1337,-44,-22,64,-62,-56,21
2020-03-21,Denmark,1420,-48,-21,85,-55,-27,11
2020-03-22,Denmark,1514,-38,-25,49,-60,-28,9
2020-03-23,Denmark,1572,-36,-20,54,-60,-55,19
2020-03-24,Denmark,1718,-36,-18,61,-60,-55,19
2020-03-25,Denmark,1862,-37,-18,67,-59,-55,19
2020-03-26,Denmark,2023,-36,-17,91,-59,-55,19
2020-03-27,Denmark,2200,-39,-18,96,-61,-55,19
2020-03-28,Denmark,2366,-43,-14,79,-56,-28,10
2020-03-29,Denmark,2564,-37,-22,35,-60,-28,9
2020-03-30,Denmark,2755,-33,-18,53,-59,-54,18
2020-03-31,Denmark,3039,-23,-4,70,-54,-53,17
2020-04-01,Denmark,3290,-32,-12,13,-58,-54,19
2020-04-02,Denmark,3573,-34,-13,11,-61,-55,20
2020-04-03,Denmark,3946,-35,-10,32,-61,-55,19
2020-04-04,Denmark,4269,-38,-8,59,-53,-25,10
2020-04-05,Denmark,4561,-22,-12,118,-49,-23,7
2020-04-06,Denmark,4875,-15,-5,161,-52,-59,16
2020-04-07,Denmark,5266,-13,4,167,-51,-59,16
2020-04-08,Denmark,5597,-9,11,131,-51,-60,15
2020-04-09,Denmark,5830,-40,-16,188,-62,-82,22
2020-04-10,Denmark,6014,-60,-36,172,-65,-82,24
2020-04-11,Denmark,6191,-31,4,50,-52,-23,8
2020-04-12,Denmark,6369,-36,-20,123,-47,-23,6
2020-04-13,Denmark,6513,-56,-30,107,-65,-84,24
2020-04-14,Denmark,6706,-15,4,65,-53,-49,16
2020-04-15,Denmark,6876,-23,-5,58,-51,-48,17
2020-04-16,Denmark,7074,-23,-4,95,-50,-47,16
2020-04-17,Denmark,7268,-26,-6,127,-50,-45,15
2020-04-18,Denmark,7437,-33,-5,121,-43,-14,7
2020-04-19,Denmark,7580,-21,-12,127,-43,-14,5
2020-04-20,Denmark,7711,-14,-5,126,-42,-41,13
2020-04-21,Denmark,7891,-15,-2,142,-40,-39,13
2020-04-22,Denmark,8108,-18,-4,137,-40,-39,12
2020-04-23,Denmark,8271,-18,-3,171,-40,-39,12
2020-04-24,Denmark,8408,-25,-5,117,-46,-40,13
2020-04-25,Denmark,8643,-29,-3,123,-40,-13,6
2020-04-26,Denmark,8773,-22,-12,80,-45,-16,5
2020-04-27,Denmark,8896,-20,-9,55,-44,-39,13
2020-04-28,Denmark,9049,-20,-6,99,-39,-37,11
2020-04-29,Denmark,9206,-26,-9,15,-45,-38,14
2020-04-30,Denmark,9356,-28,-1,11,-44,-39,14
2020-05-01,Denmark,9509,-29,0,68,-46,-49,16
2020-05-02,Denmark,9605,-34,0,54,-40,-14,7
2020-05-03,Denmark,9721,-20,-7,106,-35,-9,4
2020-05-04,Denmark,9868,-21,-2,83,-37,-35,11
2020-05-05,Denmark,10019,-22,0,96,-35,-33,11
2020-05-06,Denmark,10136,-22,2,77,-35,-33,11
2020-05-07,Denmark,10281,-12,17,150,-31,-33,7
2020-05-08,Denmark,10416,-56,-30,226,-51,-78,19
2020-05-09,Denmark,10517,-22,11,173,-27,-6,3
2020-05-10,Denmark,10627,-17,1,78,-33,-5,2
2020-05-11,Denmark,10711,-16,1,62,-35,-32,11
2020-05-12,Denmark,10789,-21,1,42,-36,-31,11
2020-05-13,Denmark,10865,-20,1,82,-33,-30,11
2020-05-14,Denmark,10911,-19,1,77,-35,-30,9
2020-05-15,Denmark,10989,-25,-2,57,-39,-31,10
2020-05-16,Denmark,11056,-30,0,38,-37,-8,6
2020-05-17,Denmark,11125,-22,-6,33,-41,-7,5
2020-05-18,Denmark,11166,-13,-3,32,-32,-25,9
2020-05-19,Denmark,11242,-9,3,103,-26,-22,8
2020-05-20,Denmark,11315,6,15,172,-18,-22,4
2020-05-21,Denmark,11380,-38,-21,337,-42,-77,16
2020-02-26,Norway,1,2,2,23,1,-4,0
2020-02-27,Norway,1,1,3,14,0,-5,1
2020-02-28,Norway,6,1,3,20,1,-5,1
2020-02-29,Norway,15,-4,-1,2,2,-2,0
2020-03-01,Norway,19,-10,2,-30,-1,-1,0
2020-03-02,Norway,25,-2,2,4,0,-2,1
2020-03-03,Norway,32,-1,1,6,-2,-1,1
2020-03-04,Norway,56,-3,1,9,1,-2,1
2020-03-05,Norway,87,0,4,26,3,-2,0
2020-03-06,Norway,108,-2,3,18,2,-2,0
2020-03-07,Norway,147,-7,0,29,1,-2,0
2020-03-08,Norway,176,-11,-2,-37,-9,-2,1
2020-03-09,Norway,205,-4,2,11,-2,-2,1
2020-03-10,Norway,400,-5,2,-4,-7,-1,2
2020-03-11,Norway,598,-6,9,10,-9,-3,3
2020-03-12,Norway,702,-6,51,-1,-20,-11,5
2020-03-13,Norway,996,-34,5,3,-39,-36,14
2020-03-14,Norway,1090,-47,-9,26,-37,-23,8
2020-03-15,Norway,1221,-71,-39,-50,-54,-27,11
2020-03-16,Norway,1333,-39,-9,22,-49,-48,18
2020-03-17,Norway,1463,-44,-15,10,-53,-51,19
2020-03-18,Norway,1550,-46,-15,18,-55,-52,20
2020-03-19,Norway,1746,-44,-11,24,-56,-52,20
2020-03-20,Norway,1914,-44,-12,31,-55,-52,21
2020-03-21,Norway,2118,-49,-10,80,-42,-33,9
2020-03-22,Norway,2385,-65,-32,-8,-57,-34,12
2020-03-23,Norway,2621,-41,-14,-1,-58,-52,20
2020-03-24,Norway,2863,-45,-14,-8,-59,-53,20
2020-03-25,Norway,3084,-45,-13,0,-58,-52,20
2020-03-26,Norway,3369,-43,-10,29,-56,-52,20
2020-03-27,Norway,3755,-42,-9,16,-57,-50,21
2020-03-28,Norway,4015,-47,-8,29,-50,-33,10
2020-03-29,Norway,4284,-65,-32,-5,-57,-34,11
2020-03-30,Norway,4445,-37,-11,37,-53,-51,18
2020-03-31,Norway,4641,-36,-7,23,-52,-51,18
2020-04-01,Norway,4863,-36,-6,18,-54,-50,19
2020-04-02,Norway,5147,-37,-4,-7,-58,-50,20
2020-04-03,Norway,5370,-35,-3,13,-53,-49,19
2020-04-04,Norway,5550,-40,-3,32,-46,-31,9
2020-04-05,Norway,5687,-60,-22,14,-52,-32,11
2020-04-06,Norway,5865,-16,9,89,-46,-58,17
2020-04-07,Norway,6086,-12,27,104,-44,-59,16
2020-04-08,Norway,6086,-11,40,37,-52,-64,18
2020-04-09,Norway,6211,-80,-80,166,-58,-85,25
2020-04-10,Norway,6314,-81,-80,163,-58,-85,26
2020-04-11,Norway,6409,-43,-2,-2,-55,-36,9
2020-04-12,Norway,6525,-63,-31,12,-52,-34,10
2020-04-13,Norway,6603,-80,-80,70,-63,-86,27
2020-04-14,Norway,6623,-26,7,3,-52,-47,17
2020-04-15,Norway,6740,-29,-3,44,-47,-47,17
2020-04-16,Norway,6896,-28,-2,53,-48,-46,17
2020-04-17,Norway,6937,-24,3,68,-44,-44,16
2020-04-18,Norway,7036,-31,3,99,-30,-21,6
2020-04-19,Norway,7078,-41,NA,88,-32,-20,6
2020-04-20,Norway,7156,-17,1,106,-37,-43,13
2020-04-21,Norway,7191,-20,5,135,-34,-42,12
2020-04-22,Norway,7338,-22,4,130,-36,-42,12
2020-04-23,Norway,7401,-22,5,93,-38,-41,13
2020-04-24,Norway,7463,-25,2,56,-42,-41,13
2020-04-25,Norway,7499,-29,1,95,-29,-19,5
2020-04-26,Norway,7527,-43,NA,48,-37,-19,4
2020-04-27,Norway,7599,-19,-1,20,-41,-38,13
2020-04-28,Norway,7660,-18,3,48,-38,-37,11
2020-04-29,Norway,7710,-16,7,56,-35,-37,12
2020-04-30,Norway,7738,-5,39,51,-34,-38,9
2020-05-01,Norway,7783,-74,-78,119,-55,-82,24
2020-05-02,Norway,7809,-16,17,95,-25,-16,4
2020-05-03,Norway,7847,-39,NA,48,-34,-17,2
2020-05-04,Norway,7904,-11,4,51,-35,-36,11
2020-05-05,Norway,7955,-13,5,66,-33,-35,11
2020-05-06,Norway,7996,-13,6,74,-32,-34,11
2020-05-07,Norway,8034,-14,9,70,-34,-34,11
